sslfinal_state,domain_registation_length,url_of_anchor,links_in_tags,redirect,age_of_domain,web_traffic,target
0,1.41,0.07,0.63,1,0.61,0,0
0,0.41,0.62,1.0,0,0.36,0,0
0,2.8,0.33,0.96,1,0.69,0,0
0,3.81,0.57,0.6,1,0.67,0,0
0,1.21,0.0,0.94,1,0.42,0,0
1,0.45,1.0,1.0,0,0.03,0,0
1,7.7,0.93,0.35,1,0.47,0,0
1,2.62,0.98,0.7,1,0.53,0,0
0,0.92,0.97,0.96,0,0.59,0,0
1,0.81,1.0,0.0,0,0.03,0,0
1,2.69,0.53,1.0,0,0.47,0,0
1,4.06,0.24,0.83,1,0.81,0,0
0,5.7,0.41,0.0,3,0.75,0,0
0,2.22,0.48,0.95,1,0.31,0,0
0,0.78,0.25,0.8,1,0.67,0,0
0,0.33,0.75,0.0,1,0.52,0,0
0,0.45,0.27,0.83,0,0.28,0,0
1,2.16,0.78,1.0,0,0.17,0,0
0,1.26,0.69,0.0,1,0.17,0,0
0,0.97,0.57,0.94,2,0.5,0,0
0,0.73,0.76,0.78,1,0.68,0,0
0,1.19,0.36,0.88,2,0.67,0,0
1,3.43,0.97,0.95,1,0.42,0,0
1,0.58,1.0,0.95,0,0.11,0,0
0,0.96,0.0,0.67,0,0.42,0,0
0,0.39,0.14,0.0,0,0.56,0,0
1,0.6,0.24,0.42,1,0.25,0,0
0,4.4,0.28,0.44,2,0.67,0,0
0,2.11,0.87,0.3,1,0.47,0,0
1,0.11,0.56,0.8,1,0.31,0,0
0,0.61,0.12,0.87,1,0.54,0,0
0,8.42,0.14,0.74,1,0.53,0,0
1,2.84,0.04,0.85,2,0.63,0,0
1,2.51,0.24,0.47,1,0.36,0,0
0,7.15,0.26,0.65,0,0.72,0,0
0,0.18,0.92,0.4,1,0.69,0,0
0,6.23,0.99,1.0,1,0.69,0,0
0,0.04,0.91,0.86,1,0.53,0,0
0,0.85,0.0,0.0,0,0.03,0,0
0,0.48,1.0,0.93,0,0.32,0,0
0,1.22,0.0,0.0,1,0.33,0,0
0,0.15,0.88,0.85,2,0.61,0,0
0,0.56,0.93,0.86,1,0.31,0,0
1,0.9,0.14,0.69,1,0.64,0,0
0,2.07,0.55,0.0,2,0.64,0,0
0,0.48,1.0,1.0,1,0.56,0,0
1,1.86,0.97,0.92,1,0.39,0,0
1,1.97,0.05,0.43,1,0.19,0,0
0,0.78,0.0,0.0,2,0.64,0,0
0,5.46,0.53,0.29,2,0.56,0,0
0,1.73,0.08,1.0,1,0.44,0,0
0,8.53,0.84,0.17,1,0.67,0,0
1,1.3,0.34,0.57,0,0.58,0,0
0,8.85,0.62,0.07,1,0.81,0,0
0,1.18,0.0,0.0,0,0.72,0,0
0,3.81,0.68,0.45,1,0.66,0,0
1,4.35,1.0,0.06,2,0.61,0,0
0,0.72,0.72,0.0,1,0.47,0,0
0,0.41,0.02,0.21,0,0.58,0,0
1,4.2,0.54,0.3,1,0.42,0,0
0,0.84,0.97,1.0,1,0.53,0,0
0,0.97,0.23,0.17,2,0.67,0,0
1,8.93,0.96,0.91,2,0.56,0,0
1,0.59,0.1,0.62,1,0.63,0,0
0,1.05,1.0,1.0,1,0.67,0,0
0,0.55,0.0,1.0,1,0.52,0,0
0,3.49,0.92,0.32,1,0.64,0,0
1,9.61,0.21,0.36,0,0.94,0,0
0,5.0,0.72,0.85,1,0.69,0,0
1,0.54,0.99,0.97,1,0.44,0,0
1,6.14,1.0,1.0,1,0.42,0,0
0,0.96,1.0,0.88,0,0.33,0,0
0,2.96,0.77,0.93,1,0.5,0,0
1,1.06,0.88,0.8,1,0.72,0,0
0,5.74,0.9,1.0,1,0.92,0,0
0,1.48,0.12,0.52,1,0.69,0,0
1,1.71,0.0,0.0,0,0.44,0,0
0,0.63,1.0,0.0,1,0.26,0,0
1,4.43,0.14,0.96,1,0.25,0,0
0,0.98,0.05,0.92,2,0.56,0,0
0,1.65,0.67,0.96,0,0.47,0,0
1,0.62,1.0,1.0,1,0.28,0,0
0,0.41,0.0,0.81,1,0.25,0,0
0,0.42,0.87,1.0,0,0.41,0,0
1,3.5,1.0,0.41,0,0.5,0,0
0,0.65,0.0,0.0,0,0.03,0,0
1,0.96,0.0,0.0,0,0.28,0,0
1,3.33,0.97,0.75,1,0.81,0,0
0,0.18,1.0,1.0,0,0.36,0,0
0,2.04,1.0,0.0,2,0.69,0,0
0,4.27,0.95,0.61,1,0.47,0,0
0,0.39,0.47,0.5,1,0.64,0,0
0,1.22,0.96,0.82,1,0.47,0,0
1,6.96,0.27,0.0,0,0.83,0,0
1,5.04,0.9,0.89,1,0.67,0,0
0,1.33,0.79,1.0,1,0.33,0,0
1,2.69,0.77,1.0,0,0.42,0,0
0,1.23,1.0,0.83,1,0.58,0,0
0,8.01,0.95,1.0,2,0.83,0,0
1,2.01,0.49,1.0,2,0.25,0,0
1,3.88,0.07,0.48,1,0.44,0,0
0,3.14,0.89,0.59,1,0.72,0,0
0,0.76,0.71,1.0,0,0.39,0,0
1,1.0,1.0,1.0,0,0.0,0,0
1,2.46,0.15,0.0,0,0.19,0,0
1,6.07,0.42,0.95,1,0.61,1,0
1,2.16,0.81,0.05,1,0.39,0,0
1,0.58,0.0,0.0,0,0.03,0,0
1,3.09,0.91,0.82,2,0.31,0,0
0,0.9,0.58,0.53,1,0.68,0,0
0,0.81,0.26,0.62,0,0.75,0,0
0,2.14,1.0,0.68,0,0.22,0,0
0,8.49,0.04,0.26,1,0.68,0,0
0,5.17,0.83,0.25,1,0.31,0,0
0,0.55,0.49,0.94,1,0.33,0,0
1,0.74,0.46,0.72,1,0.36,0,0
0,3.21,0.52,0.4,1,0.53,0,0
1,8.29,0.74,1.0,1,0.83,0,0
1,0.52,0.99,0.96,1,0.22,0,0
0,2.08,0.96,0.9,1,0.74,0,0
0,1.61,0.34,0.79,1,0.5,0,0
1,2.87,0.99,0.96,0,0.61,0,0
1,0.77,1.0,0.9,0,0.25,0,0
1,1.96,0.67,1.0,0,0.47,0,0
1,0.91,0.99,0.78,0,0.14,0,0
1,0.93,0.0,0.0,0,0.06,0,0
0,0.79,0.14,0.62,3,0.52,0,0
1,0.97,0.0,0.0,0,0.08,1,0
1,0.5,0.0,1.0,0,0.5,0,0
0,1.0,1.0,1.0,0,0.0,0,0
0,4.61,0.92,0.72,2,0.53,0,0
1,0.99,0.51,0.07,0,0.53,0,0
0,3.1,0.94,0.77,0,0.17,0,0
1,5.68,0.22,0.08,1,0.5,0,0
0,1.0,1.0,1.0,2,0.0,0,0
0,3.7,0.48,0.52,1,0.68,0,0
0,0.82,0.83,1.0,0,0.56,0,0
1,7.21,0.99,0.87,2,0.75,0,0
0,4.5,0.84,0.42,0,0.61,0,0
1,0.67,0.67,0.83,1,0.31,0,0
1,0.36,1.0,0.0,2,0.03,0,0
0,1.41,0.1,0.72,0,0.17,0,0
0,5.96,0.81,1.0,1,0.64,0,0
1,0.37,0.79,0.83,1,0.56,0,0
0,3.47,0.25,0.86,0,0.81,0,0
1,0.3,1.0,1.0,1,0.03,0,0
1,1.25,0.18,0.06,0,0.47,0,0
1,7.9,0.71,0.19,1,0.31,0,0
1,0.61,0.89,0.98,0,0.56,0,0
1,4.64,0.0,0.0,0,0.44,0,0
1,0.32,0.0,0.0,0,0.03,0,0
1,1.91,0.84,0.89,0,0.53,0,0
1,9.28,0.04,1.0,1,1.0,0,0
0,3.43,0.14,0.16,1,0.75,0,0
1,2.95,1.0,1.0,2,0.33,0,0
1,5.05,0.8,0.43,1,0.56,0,0
0,2.25,0.75,0.11,1,0.42,0,0
0,4.74,0.06,0.29,1,0.75,0,0
1,4.6,0.14,0.92,1,0.33,0,0
0,0.21,0.36,0.47,1,0.67,0,0
1,0.24,0.0,0.0,0,0.06,0,0
0,4.95,1.0,0.85,1,0.58,0,0
0,0.12,1.0,0.0,1,0.31,0,0
0,0.16,0.0,0.0,1,0.53,0,0
1,2.92,0.75,0.62,0,0.39,0,0
1,3.47,0.96,0.37,1,0.22,0,0
1,1.56,0.09,0.11,1,0.44,0,0
0,4.1,0.0,0.0,1,0.75,0,0
1,0.59,0.99,0.18,0,0.56,0,0
1,5.38,0.81,0.47,1,0.53,0,0
0,2.98,0.32,0.94,0,0.5,0,0
1,7.29,0.84,0.77,0,0.5,0,0
0,0.25,0.12,0.5,0,0.36,0,0
0,0.57,0.94,1.0,2,0.31,0,0
1,0.4,0.0,0.46,0,0.31,0,0
0,0.92,0.0,0.0,1,0.31,0,0
0,5.9,0.0,0.0,3,1.0,0,0
1,0.64,1.0,0.91,1,0.39,0,0
1,6.69,0.69,0.4,1,0.72,0,0
0,0.85,0.0,0.0,1,0.39,0,0
0,2.55,0.93,0.85,1,0.69,0,0
1,0.55,0.0,0.0,1,0.36,0,0
0,2.67,0.99,0.0,1,0.58,0,0
0,8.39,0.83,0.79,1,0.72,0,0
1,0.98,0.63,0.95,1,0.58,0,0
1,6.16,0.0,0.0,1,0.83,0,0
0,1.09,0.99,0.6,1,0.5,0,0
0,0.18,0.3,0.91,0,0.5,0,0
1,1.0,1.0,1.0,1,0.0,0,0
1,3.67,0.99,0.83,1,0.44,0,0
1,0.84,1.0,0.1,1,0.61,0,0
1,7.96,0.92,0.81,1,0.56,0,0
1,0.7,0.0,0.0,0,0.03,0,0
1,1.0,1.0,1.0,0,0.0,0,0
1,0.92,0.0,0.0,0,0.03,1,1
1,0.9,0.61,1.0,0,0.03,1,1
1,2.02,1.0,1.0,0,0.48,1,1
1,1.45,1.0,1.0,0,0.31,1,1
1,0.97,0.0,1.0,0,0.03,1,1
1,0.7,1.0,1.0,2,0.06,1,1
1,0.81,0.0,1.0,1,0.14,1,1
1,0.96,1.0,1.0,0,0.03,1,1
1,0.06,0.33,0.09,0,0.14,1,1
1,0.06,0.33,0.09,0,0.14,1,1
1,0.46,0.0,0.0,1,0.18,1,1
1,0.06,0.33,0.09,0,0.14,1,1
1,0.06,0.33,0.09,0,0.14,1,1
1,0.06,0.33,0.09,0,0.14,1,1
1,0.97,0.0,1.0,0,0.03,1,1
1,0.97,0.0,1.0,0,0.03,1,1
1,0.97,0.0,1.0,0,0.03,1,1
1,0.69,0.0,0.0,1,0.06,1,1
1,0.97,0.0,0.0,0,0.03,1,1
1,0.93,1.0,0.0,0,0.03,1,1
1,0.73,0.0,0.0,0,0.17,1,1
1,0.9,0.46,0.0,1,0.03,1,1
1,0.23,1.0,1.0,0,0.03,1,1
1,0.23,1.0,1.0,1,0.03,1,1
1,0.23,1.0,1.0,0,0.03,1,1
1,0.23,1.0,1.0,1,0.03,1,1
1,0.23,1.0,1.0,1,0.03,1,1
1,0.88,0.0,0.0,0,0.28,1,1
1,0.88,0.0,0.0,1,0.28,1,1
1,0.11,1.0,1.0,0,0.06,1,1
1,0.11,1.0,1.0,1,0.06,1,1
1,0.09,1.0,1.0,0,0.25,1,1
1,0.09,1.0,1.0,1,0.25,1,1
1,0.94,0.0,0.0,0,0.03,1,1
1,1.01,0.0,0.0,0,0.22,1,1
1,1.01,0.0,0.0,0,0.22,1,1
1,2.2,0.0,0.0,0,0.08,1,1
1,0.37,0.0,1.0,0,0.03,1,1
1,2.25,0.27,0.23,1,0.67,1,1
1,0.59,0.0,0.0,0,0.11,1,1
1,0.59,0.0,0.0,0,0.11,1,1
1,0.59,0.0,0.0,0,0.11,1,1
1,0.59,0.0,0.0,0,0.11,1,1
1,0.59,0.0,0.0,1,0.11,1,1
1,0.59,0.0,0.0,0,0.11,1,1
1,0.59,0.0,0.0,0,0.11,1,1
1,0.59,0.0,0.0,1,0.11,1,1
1,0.96,0.0,1.0,1,0.03,1,1
1,0.06,0.33,0.09,0,0.14,1,1
1,1.09,0.34,0.2,0,0.33,0,1
1,1.09,0.34,0.2,1,0.33,0,1
1,0.73,1.0,1.0,0,0.08,1,1
1,0.97,0.0,0.0,0,0.03,1,1
1,1.6,0.0,0.0,0,0.11,1,1
1,1.6,0.0,0.0,0,0.11,1,1
1,0.92,1.0,1.0,0,0.03,1,1
1,0.97,0.0,0.0,0,0.03,1,1
1,0.88,0.0,1.0,0,0.47,1,1
1,0.88,0.0,1.0,1,0.47,1,1
1,0.65,1.0,1.0,0,0.22,1,1
1,0.16,1.0,1.0,0,0.11,1,1
1,0.95,1.0,1.0,0,0.03,1,1
1,0.93,0.0,0.0,0,0.03,1,1
1,0.97,0.0,0.0,2,0.03,1,1
1,0.77,0.0,0.0,0,0.03,1,1
1,0.62,0.56,0.1,1,0.03,1,1
1,0.77,0.0,0.0,0,0.03,1,1
1,0.96,0.0,0.0,0,0.03,1,1
1,1.16,0.0,0.0,0,0.06,1,1
1,0.91,1.0,1.0,0,0.03,1,1
1,0.63,0.0,0.0,0,0.03,1,1
1,0.97,1.0,1.0,0,0.03,1,1
1,0.45,1.0,1.0,0,0.03,1,1
1,0.82,1.0,1.0,0,0.03,1,1
1,1.0,1.0,1.0,1,0.0,1,1
1,0.2,1.0,1.0,0,0.11,1,1
1,4.25,0.0,1.0,1,0.62,1,1
1,4.25,0.0,1.0,2,0.62,1,1
1,0.08,0.33,0.11,0,0.11,1,1
1,0.23,0.0,0.0,0,0.22,1,1
1,1.1,1.0,1.0,0,0.06,1,1
1,0.96,0.11,0.09,1,0.03,1,1
1,0.62,1.0,1.0,0,0.41,1,1
1,0.28,0.0,0.0,0,0.06,1,1
1,0.69,1.0,1.0,0,0.11,1,1
1,0.72,0.45,0.15,0,0.03,1,1
1,0.94,1.0,1.0,0,0.08,1,1
1,0.94,1.0,1.0,1,0.08,1,1
1,0.2,1.0,1.0,0,0.22,1,1
1,0.75,1.0,0.0,1,0.31,1,1
1,1.0,0.0,0.0,0,0.0,1,1
1,1.0,0.0,0.0,0,0.0,1,1
1,0.93,1.0,0.0,0,0.03,1,1
1,0.93,0.0,1.0,1,0.08,1,1
1,0.93,0.0,1.0,0,0.08,1,1
1,0.93,0.0,1.0,1,0.08,1,1
1,0.93,0.0,1.0,0,0.08,1,1
1,0.19,1.0,1.0,0,0.22,1,1
1,1.0,1.0,1.0,0,0.0,1,1
1,0.3,1.0,1.0,1,0.22,1,1
1,0.3,1.0,1.0,1,0.22,1,1
1,0.76,1.0,1.0,0,0.06,1,1
1,0.96,0.0,0.0,0,0.03,1,1
1,0.75,1.0,1.0,0,0.17,1,1
1,0.16,1.0,1.0,1,0.11,1,1
1,0.16,1.0,1.0,0,0.11,1,1
1,0.16,1.0,1.0,1,0.11,1,1
1,0.76,0.0,0.0,0,0.03,1,1
1,0.16,1.0,1.0,0,0.11,1,1
1,0.01,0.0,1.0,0,0.06,1,1
1,0.93,1.0,0.0,0,0.03,1,1
1,1.51,1.0,1.0,2,0.22,1,1
1,0.86,0.0,0.0,1,0.36,1,1
1,0.73,0.0,0.0,0,0.06,1,1
1,0.88,0.0,0.0,0,0.22,1,1
1,0.1,0.29,0.09,0,0.15,1,1
1,2.32,1.0,1.0,2,0.31,1,1
1,0.17,1.0,1.0,0,0.06,1,1
1,0.17,1.0,1.0,1,0.06,1,1
1,0.4,0.0,1.0,0,0.03,1,1
1,0.5,0.0,0.0,0,0.06,1,1
1,0.29,0.0,0.0,0,0.19,1,1
1,0.95,1.0,1.0,0,0.03,1,1
1,5.4,0.0,0.0,0,0.33,1,1
1,0.83,1.0,1.0,0,0.32,1,1
1,0.93,0.0,0.0,0,0.17,1,1
1,0.75,1.0,1.0,2,0.25,1,1
1,1.0,0.0,0.0,0,0.0,1,1
1,0.51,1.0,1.0,0,0.08,1,1
1,0.51,0.0,0.0,0,0.08,1,1
1,0.25,0.0,0.0,0,0.14,1,1
0,0.79,1.0,0.32,0,0.58,0,1
1,0.1,0.0,0.0,0,0.15,1,1
1,0.93,0.0,1.0,0,0.03,1,1
1,0.26,0.0,0.0,0,0.06,1,1
1,0.51,0.0,0.0,0,0.08,1,1
1,1.41,1.0,1.0,1,0.14,1,1
1,2.92,1.0,1.0,0,0.14,1,1
1,2.92,1.0,1.0,0,0.14,1,1
1,1.35,1.0,1.0,0,0.11,1,1
1,3.61,0.0,0.0,0,0.3,1,1
1,0.95,0.0,0.0,0,0.03,1,1
1,2.53,1.0,1.0,0,0.33,1,1
1,0.08,0.0,0.0,0,0.19,1,1
1,0.69,0.0,1.0,0,0.03,1,1
1,0.69,1.0,1.0,1,0.11,1,1
1,0.95,1.0,1.0,0,0.03,1,1
1,0.33,0.0,1.0,0,0.14,1,1
1,0.71,1.0,0.0,1,0.08,1,1
1,0.71,1.0,0.0,0,0.08,1,1
1,0.78,1.0,1.0,0,0.17,1,1
1,0.82,0.0,0.0,0,0.14,1,1
1,0.94,1.0,1.0,0,0.56,1,1
1,0.65,0.0,0.0,0,0.31,1,1
1,0.93,1.0,0.0,0,0.03,1,1
1,0.65,0.0,0.0,0,0.31,1,1
1,4.64,0.0,1.0,0,0.61,1,1
1,4.64,0.0,1.0,1,0.61,1,1
1,4.64,0.0,1.0,0,0.61,1,1
1,4.64,0.0,1.0,1,0.61,1,1
1,0.93,1.0,1.0,0,0.03,1,1
1,0.51,0.0,1.0,1,0.14,1,1
1,0.51,0.0,1.0,0,0.14,1,1
1,2.24,0.0,0.0,0,0.19,1,1
1,2.24,0.0,0.0,0,0.19,1,1
1,2.24,0.0,0.0,0,0.19,1,1
1,2.24,0.0,0.0,0,0.19,1,1
1,2.24,0.0,0.0,0,0.19,1,1
1,2.24,0.0,0.0,0,0.19,1,1
1,2.24,0.0,0.0,0,0.19,1,1
1,2.24,0.0,0.0,0,0.19,1,1
1,0.37,0.0,1.0,0,0.03,1,1
1,3.13,0.0,0.0,0,0.19,1,1
1,3.13,0.0,0.0,0,0.19,1,1
1,0.22,0.0,0.0,0,0.08,1,1
1,0.39,0.0,0.0,0,0.06,1,1
1,0.39,0.0,0.0,1,0.06,1,1
1,0.66,1.0,1.0,0,0.22,1,1
1,0.08,0.0,0.0,0,0.19,1,1
1,0.08,0.0,0.0,0,0.19,1,1
1,0.08,0.0,0.0,0,0.19,1,1
1,0.08,0.0,0.0,0,0.19,1,1
1,0.69,0.0,0.0,0,0.06,1,1
1,0.28,1.0,1.0,0,0.17,1,1
1,0.08,0.0,0.0,0,0.19,1,1
1,0.82,0.0,1.0,1,0.03,1,1
1,0.52,1.0,1.0,0,0.06,1,1
1,0.52,1.0,1.0,0,0.17,1,1
1,0.34,0.0,0.0,0,0.47,1,1
1,0.35,0.0,0.0,0,0.03,1,1
1,0.82,0.0,1.0,1,0.03,1,1
1,0.83,1.0,1.0,0,0.11,1,1
1,0.16,1.0,1.0,0,0.08,1,1
1,0.17,0.0,0.0,0,0.03,1,1
1,0.61,0.0,0.0,0,0.22,1,1
1,0.07,1.0,1.0,0,0.06,1,1
1,1.08,1.0,1.0,2,0.28,1,1
1,1.08,1.0,1.0,0,0.28,1,1
1,1.0,1.0,1.0,0,0.0,1,1
1,1.0,1.0,1.0,1,0.0,1,1
1,0.06,0.0,0.0,0,0.08,1,1
1,0.06,0.0,0.0,0,0.08,1,1
1,0.72,0.0,0.0,0,0.06,1,1
1,0.72,0.0,0.0,1,0.06,1,1
1,0.55,0.0,1.0,1,0.25,1,1
1,1.0,1.0,1.0,0,0.0,1,1
1,0.22,0.0,0.0,0,0.06,1,1
1,0.32,1.0,1.0,0,0.03,1,1
1,0.75,1.0,1.0,0,0.17,1,1
1,0.66,0.0,0.0,0,0.17,1,1
1,0.98,0.0,1.0,0,0.19,1,1
1,0.4,1.0,0.0,0,0.03,1,1
1,7.47,0.0,0.0,1,0.28,1,1
1,0.53,1.0,1.0,0,0.03,1,1
1,0.79,0.0,0.0,0,0.22,1,1
1,0.1,1.0,1.0,1,0.19,1,1
1,0.35,1.0,1.0,0,0.11,1,1
1,0.79,0.0,1.0,0,0.03,1,1
1,0.32,0.0,1.0,0,0.19,1,1
1,0.69,0.0,0.0,0,0.06,1,1
1,0.73,0.0,0.0,1,0.14,1,1
1,1.0,1.0,1.0,0,0.0,1,1
1,0.8,0.0,0.0,0,0.14,1,1
1,0.81,1.0,1.0,0,0.03,1,1
1,0.17,0.0,1.0,1,0.11,1,1
1,0.17,0.0,1.0,0,0.11,1,1
1,0.17,0.0,1.0,0,0.11,1,1
1,0.17,0.0,1.0,1,0.11,1,1
1,0.17,0.0,1.0,0,0.11,1,1
1,0.17,0.0,1.0,1,0.11,1,1
1,0.51,1.0,0.0,1,0.19,1,1
1,0.51,1.0,0.0,0,0.19,1,1
1,0.81,1.0,1.0,0,0.03,1,1
1,0.81,1.0,1.0,1,0.03,1,1
1,0.2,1.0,1.0,1,0.03,1,1
1,0.57,1.0,1.0,0,0.36,1,1
1,0.17,1.0,1.0,0,0.03,1,1
1,0.23,0.0,0.0,1,0.06,1,1
1,1.51,0.0,0.0,0,0.11,1,1
